qname	decompositionTime	planningTime	firstResult	overallTime	moreResults	cardinality
B1-1	0.00233602523804	0.00450015068054	10.816065073	171.063759089	1	50
B1-2	0.00241613388062	0.0046169757843	21.8268351555	169.426594019	1	23
B1-3	0.00224494934082	0.00442886352539	6.19183683395	173.145164967	1	64
B1-4	0.0022931098938	0.0044629573822	13.0559020042	168.326199055	1	19
B1-5	0.00217390060425	0.00424289703369	15.0197498798	170.06955409	1	45
B1-6	0.00216889381409	0.00428009033203	26.3248069286	169.516819	1	31
B1-7	0.00224804878235	0.00434803962708	11.0671811104	168.269377947	1	33
B1-8	0.0023820400238	0.00459289550781	58.6572039127	171.359416008	1	6
B1-9	0.00251317024231	0.00471901893616	26.8399381638	170.733186007	1	10
B1-10	0.00222110748291	0.00431299209595	34.0625860691	167.471287012	1	15
B1-11	0.00247097015381	0.00469994544983	12.3301939964	169.894626856	1	36
B1-12	0.00217700004578	0.00427198410034	3.74945116043	167.528964043	1	63
B1-13	0.00217795372009	0.00434494018555	21.0352740288	168.316813946	1	26
B1-14	0.00217986106873	0.00428700447083	12.8555707932	169.111909866	1	57
B1-15	0.00216603279114	0.00433206558228	6.4335360527	169.168091059	1	52
B1-16	0.00214815139771	0.00427412986755	19.4012861252	166.68010807	1	65
B1-17	0.0021710395813	0.00431680679321	19.7165379524	168.698607922	1	56
B1-18	0.00209188461304	0.00417399406433	15.3043699265	167.234349012	1	42
B1-19	0.00207901000977	0.00416779518127	27.4236719608	168.142905951	1	24
B1-20	0.00208401679993	0.00419902801514	5.64087414742	169.641452074	1	57
B2-1	0.00275897979736	0.00497007369995	0.111394166946	0.24910902977	1	223
B2-2	0.00259494781494	0.0046808719635	2.09566187859	2.63446784019	1	139
B2-3	0.00251078605652	0.00458598136902	0.520204782486	5.10786795616	1	191
B2-4	0.00263786315918	0.00471687316895	2.69451904297	6.58857703209	1	165
B2-5	0.00255990028381	0.00465297698975	0.243355989456	0.609272003174	1	223
B2-6	0.00258588790894	0.00465798377991	0.226578950882	0.674698829651	1	253
B2-7	0.00258183479309	0.00466585159302	1.33294701576	3.43239498138	1	186
B2-8	0.00256991386414	0.00466585159302	0.238301038742	0.783635854721	1	111
B2-9	0.00258493423462	0.00467109680176	0.142508029938	0.256175994873	1	223
B2-10	0.00255990028381	0.00472211837769	0.127392053604	0.498668909073	1	159
B2-11	0.00258994102478	0.00472497940063	0.267992019653	1.09721803665	1	349
B2-12	0.00265502929688	0.00473713874817	1.30269312859	5.2874341011	1	127
B2-13	0.0027391910553	0.00491404533386	1.64407610893	58.8323831558	1	267
B2-14	0.00260400772095	0.00468802452087	2.07320618629	58.0323760509	1	203
B2-15	0.00258994102478	0.00472402572632	2.11965084076	3.26397800446	1	49
B2-16	0.00271606445312	0.00491094589233	0.154408931732	0.419678926468	1	82
B2-17	0.00259280204773	0.00466990470886	0.43799996376	7.30942702293	1	437
B2-18	0.0026159286499	0.00476098060608	3.5829501152	91.2851920128	1	306
B2-19	0.00266814231873	0.00481510162354	0.597609996796	3.75707912445	1	89
B2-20	0.0025999546051	0.00483298301697	0.0967581272125	0.230984926224	1	86
B3-1	0.00399398803711	0.00787210464478	0.0932929515839	0.108306884766	1	11
B3-2	0.00401496887207	0.00788807868958	0.0795969963074	0.0806069374084	1	5
B3-3	0.00404405593872	0.00787711143494	0.162420034409	1.08046507835	1	20
B3-4	0.0040020942688	0.00792503356934	0.0809700489044	0.0810770988464	1	1
B3-5	0.00404000282288	0.00788402557373	0.0755441188812	0.0777192115784	1	3
B3-6	0.00409197807312	0.00795388221741	0.0875639915466	0.0886070728302	1	10
B3-7	0.00402498245239	0.00788187980652	0.178203105927	1.26482105255	1	14
B3-8	0.0041880607605	0.00809907913208	0.0854461193085	0.11309504509	1	12
B3-9	0.00403094291687	0.00788617134094	0.0813550949097	0.086394071579	1	8
B3-10	0.00415706634521	0.00801301002502	0.0936200618744	0.116147041321	1	17
B3-11	0.00402402877808	0.00789999961853	0.0843639373779	0.0883228778839	1	8
B3-12	0.00406503677368	0.00790190696716	0.101861000061	0.240483999252	1	20
B3-13	0.00405406951904	0.00786304473877	0.0840849876404	0.0850901603699	1	7
B3-14	0.00407409667969	0.00797820091248	0.0787761211395	0.0853531360626	1	8
B3-15	0.00410604476929	0.00805592536926	0.117985010147	0.208554029465	1	4
B3-16	0.00410485267639	0.00791096687317	0.0852859020233	0.100940942764	1	11
