qname	decompositionTime	planningTime	firstResult	overallTime	moreResults	cardinality
B1-1	0.00224494934082	0.00399899482727	4.67840600014	258.669497013	1	50
B1-2	0.0021710395813	0.00383305549622	5.08988785744	257.230291843	1	23
B1-3	0.00207614898682	0.00369000434875	0.967740058899	249.200469017	1	64
B1-4	0.00207901000977	0.00369691848755	5.74072504044	247.106252909	1	19
B1-5	0.00206899642944	0.00369477272034	3.19496297836	250.909040928	1	45
B1-6	0.00205206871033	0.00367116928101	6.4145591259	255.941867113	1	31
B1-7	0.00233888626099	0.00407910346985	5.37205290794	256.229182959	1	33
B1-8	0.00208401679993	0.00369811058044	22.6368629932	256.991577148	1	6
B1-9	0.0020968914032	0.00373601913452	8.36803483963	255.136505842	1	10
B1-10	0.00206398963928	0.00368809700012	5.16398000717	256.310085058	1	15
B1-11	0.0020580291748	0.00369787216187	4.03489589691	253.655493021	1	36
B1-12	0.00209403038025	0.0037579536438	3.0462770462	250.47726202	1	63
B1-13	0.00207901000977	0.00373291969299	4.11319684982	251.498727798	1	26
B1-14	0.00215196609497	0.00379705429077	5.34702396393	263.872621059	1	57
B1-15	0.00207591056824	0.00370287895203	2.68536901474	253.244801998	1	52
B1-16	0.00207805633545	0.00370216369629	4.49300098419	257.742390156	1	65
B1-17	0.00209784507751	0.00373601913452	2.77747797966	256.304080009	1	56
B1-18	0.00209808349609	0.0037829875946	4.90558600426	258.84674716	1	42
B1-19	0.00199007987976	0.00362515449524	3.6847820282	259.362614155	1	24
B1-20	0.00224113464355	0.00393414497375	3.22021102905	257.49734211	1	57
B2-1	0.00250005722046	0.00413513183594	0.115800142288	0.181949138641	1	223
B2-2	0.00247001647949	0.00407218933105	0.271462202072	0.667807102203	1	139
B2-3	0.00242280960083	0.00399398803711	1.03725385666	4.46157884598	1	191
B2-4	0.00250196456909	0.00406193733215	2.33053898811	5.20145201683	1	165
B2-5	0.00243306159973	0.00401902198792	0.293394088745	0.548263072968	1	223
B2-6	0.00245404243469	0.0040180683136	0.295673131943	0.599200963974	1	253
B2-7	0.00250387191772	0.00407290458679	1.89399695396	3.57185006142	1	186
B2-8	0.0024528503418	0.00402593612671	0.313000917435	0.67251086235	1	111
B2-9	0.00245189666748	0.00405097007751	0.111180067062	0.169887065887	1	223
B2-10	0.00248098373413	0.00404500961304	0.15522313118	0.29394197464	1	159
B2-11	0.0024790763855	0.0040500164032	0.405246973038	0.988816022873	1	349
B2-12	0.0024528503418	0.00403904914856	1.29611206055	4.25404906273	1	127
B2-13	0.00243401527405	0.00401401519775	1.41348910332	48.5201990604	1	267
B2-14	0.00246000289917	0.00405502319336	2.35284090042	47.4822199345	1	203
B2-15	0.00243806838989	0.00403499603271	1.88597202301	2.69248199463	1	49
B2-16	0.00244402885437	0.00403094291687	0.184059858322	0.370673894882	1	82
B2-17	0.00245404243469	0.00401401519775	0.695929050446	6.12217903137	1	437
B2-18	0.0024881362915	0.00405097007751	3.32323312759	73.6462709904	1	306
B2-19	0.00247406959534	0.00405597686768	0.69007897377	2.87500095367	1	89
B2-20	0.00243401527405	0.00400018692017	0.0873332023621	0.123950004578	1	86
B3-1	0.00376200675964	0.00637102127075	0.0626668930054	0.0783770084381	1	11
B3-2	0.00382804870605	0.00639820098877	0.0590550899506	0.0623381137848	1	5
B3-3	0.00385308265686	0.00645995140076	0.132081985474	0.166543006897	1	20
B3-4	0.00377011299133	0.00631904602051	0.0589101314545	0.0596590042114	1	1
B3-5	0.00375699996948	0.00629305839539	0.0602588653564	0.0607249736786	1	3
B3-6	0.00376296043396	0.00631093978882	0.0591230392456	0.0724050998688	1	10
B3-7	0.003821849823	0.00640797615051	0.14522600174	0.184592962265	1	14
B3-8	0.00379395484924	0.00646615028381	0.0576300621033	0.0711209774017	1	12
B3-9	0.00395202636719	0.00680184364319	0.0597229003906	0.0625629425049	1	8
B3-10	0.00376296043396	0.00637984275818	0.0592730045319	0.0856339931488	1	17
B3-11	0.00384616851807	0.00640821456909	0.0629990100861	0.0720810890198	1	8
B3-12	0.00379419326782	0.00632405281067	0.0690062046051	0.0827610492706	1	20
B3-13	0.00388097763062	0.00647187232971	0.0577578544617	0.0583989620209	1	7
B3-14	0.0038321018219	0.0064389705658	0.0547080039978	0.0608170032501	1	8
B3-15	0.00375986099243	0.0063738822937	0.0737819671631	0.0751230716705	1	4
B3-16	0.00381803512573	0.00635409355164	0.0554912090302	0.0617392063141	1	11
B3-17	0.00384116172791	0.00641322135925	0.0618491172791	0.0643501281738	1	8
B3-18	0.00377202033997	0.00632905960083	0.0676839351654	0.0784060955048	1	19
B3-19	0.00380206108093	0.00638914108276	0.0541059970856	0.0561120510101	1	2
B3-20	0.00398898124695	0.00665402412415	0.0622699260712	0.0625960826874	1	3
B4-1	0.00588011741638	0.0141849517822	27.0928730965	27.09405303	1	12
B4-2	0.00587797164917	0.0141880512238	2.01507902145	27.1169168949	1	30
B4-3	0.00589609146118	0.0142040252686	1.70878410339	26.3273081779	1	48
B4-4	0.00588488578796	0.0141489505768	1.75651788712	26.472288847	1	54
B4-5	0.0058970451355	0.0142240524292	1.74629688263	26.0568659306	1	102
B4-6	0.00589394569397	0.0141880512238	1.84144091606	26.3461270332	1	120
B4-7	0.0058901309967	0.0141651630402	1.8796350956	27.5073001385	1	48
B4-8	0.00588703155518	0.0142071247101	1.76816511154	26.0948591232	1	24
B4-9	0.00590395927429	0.0142910480499	25.8031589985	25.8050169945	1	18
B4-10	0.00592494010925	0.0142788887024	1.77532601357	26.171959877	1	12
B4-11	0.00586009025574	0.0141100883484	26.0378260612	26.0399301052	1	18
B4-12	0.00585007667542	0.0141611099243	25.672631979	25.6753411293	1	30
