qname	decompositionTime	planningTime	firstResult	overallTime	moreResults	cardinality
C1	0.090304851532	0.0930390357971	2.34835290909	6.46774101257	1	26
C2	0.062383890152	0.0642337799072	0.180629968643	0.285850763321	1	1614
C3	0.137201786041	0.139287948608	0.906001806259	36.2443499565	1	163
C4	0.0947840213776	0.0967791080475	3.59660005569	8.0187420845	1	880
C5	0.0720281600952	0.0732221603394	0.287176132202	1.43662214279	1	14600
C6	0.100394010544	0.102970838547	11.175303936	11.1889629364	1	12
C7	0.0944428443909	0.0965058803558	1.36148285866	7.77472782135	1	66
C8	0.0936260223389	0.0957219600677	1.06273603439	6.10046005249	1	26
C9	0.0852580070496	0.0896940231323	-1	299.716996908	0	0
C10	0.123046159744	0.12528014183	-1	299.716620207	0	0
CD1	0.131330966949	0.132718801498	0.163041830063	0.173057794571	1	90
CD2	0.0598139762878	0.0608730316162	0.108777999878	0.108829975128	1	1
CD3	0.0698359012604	0.070839881897	0.148236989975	0.148427963257	1	2
CD4	0.0688791275024	0.0698599815369	0.106559038162	0.106629133224	1	1
CD5	0.0595760345459	0.0607540607452	0.133276939392	0.133515119553	1	2
CD6	0.150535821915	0.151761770248	0.574839830399	0.574839830399	0	0
CD7	0.149712085724	0.150776147842	0.186773061752	0.186773061752	0	0
LD1	0.0669941902161	0.0672581195831	0.109112977982	0.121298074722	1	308
LD2	0.0599901676178	0.0603830814362	0.106592178345	0.113609075546	1	185
LD3	0.0986649990082	0.0989289283752	0.172137975693	0.176082849503	1	109
LD4	0.0596408843994	0.0603768825531	0.173997879028	0.210299015045	1	50
LD5	0.0701010227203	0.0705111026764	0.0895941257477	0.0911002159119	1	28
LD6	0.148688077927	0.149643182755	10.273922205	10.273922205	0	0
LD7	0.122190952301	0.122426986694	0.230926990509	0.272823095322	1	1216
LD8	0.0801539421082	0.0811078548431	14.8806729317	14.8806729317	0	0
LD9	0.0697269439697	0.0701670646667	0.0984179973602	0.0984179973602	0	0
LD10	0.0697929859161	0.070552110672	0.136509895325	0.137006998062	1	3
LD11	0.0745000839233	0.0747900009155	0.177281141281	0.191946983337	1	376
LS1	0.0603549480438	0.0611319541931	0.157086849213	0.218178987503	1	1159
LS2	0.13038611412	0.13206410408	0.17972111702	0.202520132065	1	319
LS3	0.105587005615	0.106701135635	0.363781929016	10.8097801208	1	9054
LS4	0.0788729190826	0.0798840522766	1.40351104736	5.82801795006	1	3
LS5	0.103203058243	0.104804992676	1.34175395966	4.87683796883	1	393
LS6	0.18918800354	0.190191984177	1.44160294533	4.89551305771	1	28
LS7	0.0785639286041	0.0800578594208	2.13692903519	2.13692903519	0	0
