qname	decompositionTime	planningTime	overallTime	cardinality	msg
C1	0.6189999580	0.0039999485	1.46114397049	0	
C2	0.5169999599	0.0010001659	3.15957403183	1614	
C3	0.5420000553	0.0039999485	1.36900091171	0	
C4	0.7100000381	0.0039999485	1.53949713707	0	
C5	0.3469998837	0.0050001144	7.15551114082	56	
C6	0.6200001240	0.0039999485	1.51890802383	1	
C7	0.6630001068	0.0030000210	1.68345212936	1	
C8	0.6909999847	0.0040001869	1.73360586166	1
C9	1.4529998302	0.0010001659	300.341088057	0	ERROR: 124	
C10	0.4440000057	0.0040001869	1.71308612823	1	
CD1	0.2450001240	0.0030000210	1.6771261692	89	
CD2	0.2379999161	0.0040001869	1.08540320396	1	
CD3	0.3059999943	0.0039999485	1.39872789383	2	
CD4	0.4820001125	0.0039999485	1.58648920059	1	
CD5	0.2869999409	0.0039999485	1.24097704887	2	
CD6	0.2899999619	0.0030000210	2.4093079567	11	
CD7	0.2749998569	0.0030000210	1.65842986107	0	
LD1	0.3079998493	0.0039999485	2.00869393349	308	
LD2	0.2479999065	0.0010001659	1.1731069088	185	
LD3	0.2820000648	0.0039999485	2.1783080101	109	
LD4	0.3090000153	0.0009999275	1.2004711628	50	
LD5	0.2490000725	0.0039999485	1.22891306877	28	
LD6	0.3190000057	0.0049998760	1.36465096474	39	
LD7	0.2139999866	0.0030000210	2.15674185753	1216	
LD8	0.3389999866	0.0049998760	1.70280885696	22	
LD9	0.2879998684	0.0010001659	1.12079000473	0	
LD10	0.2559998035	0.0030000210	1.38528895378	3	
LD11	0.3180000782	0.0059998035	3.27344894409	376	
LS1	0.2070000172	0.0009999275	1.40890002251	1159	
LS2	0.2420001030	0.0030000210	1.35920214653	333	
LS3	0.3210000992	0.0049998760	16.0354309082	9054	
LS4	0.3890001774	0.0009999275	1.23715806007	0	
LS5	0.3400001526	0.0039999485	6.4097700119	0	
LS6	0.3009998798	0.0030000210	1.12185883522	0	
LS7	0.3139998913	0.0050001144	1.12739896774	0	
