qname	decompositionTime	planningTime	firstResult	overallTime	moreResults	cardinality
B1-1	0.0272560119629	0.0280210971832	0.0744280815125	0.0782661437988	1	50
B1-2	0.0273067951202	0.0282378196716	0.0737287998199	0.0752987861633	1	23
B1-3	0.0272541046143	0.0281600952148	0.0708050727844	0.0748770236969	1	64
B1-4	0.0275790691376	0.0283541679382	0.0636160373688	0.0646171569824	1	19
B1-5	0.0274951457977	0.0282640457153	0.0689001083374	0.0717079639435	1	45
B1-6	0.0272390842438	0.0281801223755	0.0636610984802	0.065523147583	1	31
B1-7	0.0272328853607	0.0281448364258	0.062157869339	0.064013004303	1	33
B1-8	0.027450799942	0.0282328128815	0.0608458518982	0.0610690116882	1	6
B1-9	0.0274558067322	0.0282227993011	0.0619688034058	0.0624740123749	1	10
B1-10	0.0272459983826	0.0281758308411	0.0606799125671	0.0616068840027	1	15
B1-11	0.0273659229279	0.0282759666443	0.0636820793152	0.0656299591064	1	36
B1-12	0.0273971557617	0.0281641483307	0.0680930614471	0.0718171596527	1	63
B1-13	0.0276079177856	0.028373003006	0.0627291202545	0.0643141269684	1	26
B1-14	0.0271148681641	0.028021812439	0.0681169033051	0.0722188949585	1	57
B1-15	0.0271420478821	0.0280721187592	0.0671150684357	0.0705111026764	1	52
B1-16	0.0274579524994	0.0282428264618	0.0696659088135	0.0738399028778	1	65
B1-17	0.0274410247803	0.0282061100006	0.0693221092224	0.0724549293518	1	56
B1-18	0.0274250507355	0.0283420085907	0.0636150836945	0.0663180351257	1	42
B1-19	0.0273730754852	0.0282871723175	0.0615260601044	0.0628321170807	1	24
B1-20	0.0275580883026	0.0283360481262	0.0670731067657	0.0707960128784	1	57
B2-1	0.0278489589691	0.0284600257874	0.0732159614563	0.0878939628601	1	223
B2-2	0.028116941452	0.0287539958954	0.0777668952942	0.0875809192657	1	139
B2-3	0.0278639793396	0.0284869670868	0.089506149292	0.102132081985	1	191
B2-4	0.0280091762543	0.0286180973053	0.0821311473846	0.0934331417084	1	165
B2-5	0.0277438163757	0.028354883194	0.0796389579773	0.0947258472443	1	223
B2-6	0.0281059741974	0.0287368297577	0.0815069675446	0.0975208282471	1	253
B2-7	0.0281319618225	0.0287499427795	0.0810649394989	0.0943169593811	1	186
B2-8	0.0280470848083	0.0286600589752	0.0752911567688	0.0823640823364	1	111
B2-9	0.0278120040894	0.0284252166748	0.0739691257477	0.0898241996765	1	223
B2-10	0.028030872345	0.0286459922791	0.0701107978821	0.0801978111267	1	159
B2-11	0.0278370380402	0.0284571647644	0.0886671543121	0.111494064331	1	349
B2-12	0.0280809402466	0.0286939144135	0.0932438373566	0.101367950439	1	127
B2-13	0.0280120372772	0.0286228656769	0.0881798267365	0.106907844543	1	267
B2-14	0.0282289981842	0.0288479328156	0.0845639705658	0.0965149402618	1	203
B2-15	0.0281128883362	0.0287261009216	0.0718610286713	0.0750579833984	1	49
B2-16	0.0279910564423	0.0285959243774	0.0776660442352	0.0832459926605	1	82
B2-17	0.0277400016785	0.0283558368683	0.0956678390503	0.123910903931	1	437
B2-18	0.0280559062958	0.0286629199982	0.0906300544739	0.111396074295	1	306
B2-19	0.0280210971832	0.0286440849304	0.07630610466	0.0826721191406	1	89
B2-20	0.028135061264	0.0287680625916	0.0787069797516	0.0837180614471	1	86
B3-1	0.0359060764313	0.0373511314392	0.0808629989624	0.0817620754242	1	11
B3-2	0.0355899333954	0.0370280742645	0.0779891014099	0.0784549713135	1	5
B3-3	0.035628080368	0.0370709896088	0.0969300270081	0.098953962326	1	20
B3-4	0.0358459949493	0.0372638702393	0.0845968723297	0.0850169658661	1	1
B3-5	0.035660982132	0.0371060371399	0.0830161571503	0.0854690074921	1	3
