qname	decompositionTime	planningTime	overallTime	cardinality	msg
B10-6	0.4679999352	0.0050001144	2.74365711212	190	
B10-7	0.4560000896	0.0059998035	4.28479886055	379	
B10-8	0.4579999447	0.0049998760	3.37541794777	239	
B10-9	0.4749999046	0.0039999485	2.47024703026	147	
B10-10	0.4570000172	0.0050001144	3.89235377312	298	
B10-11	0.4560000896	0.0049998760	4.11264681816	453	
B10-12	0.4749999046	0.0050001144	2.86599302292	216	
B10-13	0.4700000286	0.0049998760	2.34177899361	68	
B10-14	0.4880001545	0.0049998760	2.89540195465	86	
B10-15	0.4800000191	0.0049998760	3.08314299583	71	
B10-16	0.4799997807	0.0050001144	2.8141438961	207	
B10-17	0.4709999561	0.0069999695	2.2420091629	68	
B10-18	0.4630000591	0.0039999485	2.55908513069	30	
B10-19	0.5060000420	0.0050001144	2.88488483429	49	
B10-20	0.4759998322	0.0040001869	3.7382080555	328	
B11-1	0.8190000057	0.0060000420	2.25819396973	1	
B11-2	1.2209999561	0.0050001144	2.80086302757	3	
B11-3	0.8040001392	0.0060000420	3.42268705368	13	
B11-4	0.8269999027	0.0060000420	3.50107097626	19	
B11-5	0.8389999866	0.0060000420	3.66824293137	13	
B11-6	0.8259999752	0.0060000420	3.62194609642	16	
B11-7	0.8210000992	0.0060000420	2.64542484283	5	
B11-8	0.8159999847	0.0069999695	2.59457802773	6	
B11-9	0.8289999962	0.0060000420	3.4064309597	15	
B11-10	0.8379998207	0.0060000420	2.87412595749	9	
B11-11	0.8289999962	0.0060000420	2.66314888	6	
B11-12	0.7999999523	0.0060000420	2.27455997467	1	
B11-13	0.8050000668	0.0059998035	3.68460512161	17	
B11-14	0.8329999447	0.0069999695	2.95024490356	10	
B11-15	0.7760000229	0.0049998760	2.81486392021	5	
B11-16	0.8259999752	0.0060000420	3.53746390343	13	
B11-17	0.8249998093	0.0060000420	2.57194495201	5	
B11-18	0.8269999027	0.0060000420	3.46878194809	7	
B11-19	0.8069999218	0.0060000420	2.09946584702	1	
