qname	overallTime	overallTime	cardinality
B1-1	0.0234270095825	0.0234270095825	50
B1-2	0.0144109725952	0.0144109725952	23
B1-3	0.0168120861053	0.0168120861053	64
B1-4	0.0129890441895	0.0129890441895	19
B1-5	0.0147662162781	0.0147662162781	45
B1-6	0.0127561092377	0.0127561092377	31
B1-7	0.01243019104	0.01243019104	33
B1-8	0.010575056076	0.010575056076	6
B1-9	0.012099981308	0.012099981308	10
B1-10	0.0113308429718	0.0113308429718	15
B1-11	0.0120429992676	0.0120429992676	36
B1-12	0.0138258934021	0.0138258934021	63
B1-13	0.011677980423	0.011677980423	26
B1-14	0.0132541656494	0.0132541656494	57
B1-15	0.0131199359894	0.0131199359894	52
B1-16	0.330829143524	0.330829143524	65
B1-17	0.0141999721527	0.0141999721527	56
B1-18	0.0125179290771	0.0125179290771	42
B1-19	0.0161459445953	0.0161459445953	24
B1-20	0.0170161724091	0.0170161724091	57
B2-1	0.0677251815796	0.0677251815796	223
B2-2	0.0271301269531	0.0271301269531	139
B2-3	0.0282459259033	0.0282459259033	191
B2-4	0.0281450748444	0.0281450748444	165
B2-5	0.0266258716583	0.0266258716583	223
B2-6	0.0277721881866	0.0277721881866	253
B2-7	0.0272860527039	0.0272860527039	186
B2-8	0.0259399414062	0.0259399414062	111
B2-9	0.0215439796448	0.0215439796448	223
B2-10	0.021066904068	0.021066904068	159
B2-11	0.0306479930878	0.0306479930878	349
B2-12	0.0286030769348	0.0286030769348	127
B2-13	0.03142786026	0.03142786026	267
B2-14	0.0297029018402	0.0297029018402	203
B2-15	0.0260808467865	0.0260808467865	49
B2-16	0.0244190692902	0.0244190692902	82
B2-17	0.0333909988403	0.0333909988403	437
B2-18	0.0317130088806	0.0317130088806	306
B2-19	0.0259351730347	0.0259351730347	89
B2-20	0.0207920074463	0.0207920074463	86
B3-1	0.0290908813477	0.0290908813477	11
B3-2	0.0274178981781	0.0274178981781	5
B3-3	0.0369620323181	0.0369620323181	20
B3-4	0.0200161933899	0.0200161933899	1
B3-5	0.0204861164093	0.0204861164093	3
B3-6	0.026437997818	0.026437997818	10
B3-7	0.030561208725	0.030561208725	14
B3-8	0.0218870639801	0.0218870639801	12
B3-9	0.0278329849243	0.0278329849243	8
B3-10	0.0228209495544	0.0228209495544	17
B3-11	0.0279641151428	0.0279641151428	8
B3-12	0.0398590564728	0.0398590564728	20
B3-13	0.0211989879608	0.0211989879608	7
B3-14	0.021192073822	0.021192073822	8
B3-15	0.0310161113739	0.0310161113739	4
B3-16	0.0267419815063	0.0267419815063	11
B3-17	0.0278000831604	0.0278000831604	8
B3-18	0.0297639369965	0.0297639369965	19
B3-19	0.0207240581512	0.0207240581512	2
B3-20	0.0206029415131	0.0206029415131	3
B4-1	0.324126005173	0.324126005173	12
B4-2	0.340340137482	0.340340137482	30
B4-3	0.344503879547	0.344503879547	48
B4-4	0.344752073288	0.344752073288	54
B4-5	0.347586154938	0.347586154938	102
B4-6	0.339514970779	0.339514970779	120
B4-7	0.336933135986	0.336933135986	48
B4-8	0.330523014069	0.330523014069	24
B4-9	0.325953006744	0.325953006744	18
B4-10	0.337939977646	0.337939977646	12
B4-11	0.336104869843	0.336104869843	18
B4-12	0.340716838837	0.340716838837	30
B4-13	0.335649013519	0.335649013519	18
B4-14	0.399599075317	0.399599075317	324
B4-15	0.323111057281	0.323111057281	12
B4-16	0.349122047424	0.349122047424	90
B4-17	0.33367395401	0.33367395401	18
B4-18	0.334741830826	0.334741830826	30
B4-19	0.339947938919	0.339947938919	54
B4-20	0.347145795822	0.347145795822	120
B5-1	2.62660503387	2.62660503387	13065
B5-2	1.47020888329	1.47020888329	8237
B5-3	2.21180510521	2.21180510521	11046
B5-4	0.793885946274	0.793885946274	5107
B5-5	0.874917030334	0.874917030334	5195
B5-6	1.89484500885	1.89484500885	9458
B5-7	1.4619410038	1.4619410038	8651
B5-8	2.47901582718	2.47901582718	12952
B5-9	0.208649873734	0.208649873734	1099
B5-10	1.38560009003	1.38560009003	6592
B5-11	1.02342295647	1.02342295647	6499
