qname	overallTime	overallTime	cardinality
B5-12	2.22310805321	2.22310805321	11674
B5-13	0.591859102249	0.591859102249	3826
B5-14	0.337172031403	0.337172031403	1988
B5-15	2.19918894768	2.19918894768	9665
B5-16	1.30429506302	1.30429506302	7609
B5-17	0.397758960724	0.397758960724	2629
B5-18	0.917894124985	0.917894124985	5574
B5-19	0.808444976807	0.808444976807	5201
B5-20	1.28364706039	1.28364706039	7186
B6-1	0.347829818726	0.347829818726	18
B6-2	0.300104141235	0.300104141235	1
B6-3	0.231538772583	0.231538772583	5
B6-4	0.31405711174	0.31405711174	5
B6-5	0.311167955399	0.311167955399	15
B6-6	0.307395935059	0.307395935059	8
B6-7	0.302175045013	0.302175045013	1
B6-8	0.30711889267	0.30711889267	11
B6-9	0.317137002945	0.317137002945	11
B6-10	0.324242115021	0.324242115021	12
B6-11	0.304981946945	0.304981946945	4
B6-12	0.32654094696	0.32654094696	19
B6-13	0.306485891342	0.306485891342	12
B6-14	0.304494142532	0.304494142532	7
B6-15	0.305666923523	0.305666923523	11
B6-16	0.330169200897	0.330169200897	8
B6-17	0.305354118347	0.305354118347	4
B6-18	0.304943084717	0.304943084717	6
B6-19	0.304805994034	0.304805994034	7
B6-20	0.305203914642	0.305203914642	3
B7-1	0.0679159164429	0.0679159164429	14
B7-2	0.0882961750031	0.0882961750031	25
B7-3	0.0696358680725	0.0696358680725	26
B7-4	0.0698699951172	0.0698699951172	22
B7-5	0.0677750110626	0.0677750110626	21
B7-6	0.0675630569458	0.0675630569458	19
B7-7	0.0698540210724	0.0698540210724	32
B7-8	0.0869169235229	0.0869169235229	19
B7-9	0.080146074295	0.080146074295	15
B7-10	0.0661761760712	0.0661761760712	4
B7-11	0.0670800209045	0.0670800209045	16
B7-12	0.0685968399048	0.0685968399048	17
B7-13	0.067008972168	0.067008972168	5
B7-14	0.0667908191681	0.0667908191681	15
B7-15	0.0675389766693	0.0675389766693	21
B7-16	0.0837371349335	0.0837371349335	17
B7-17	0.0686371326447	0.0686371326447	16
B7-18	0.0677480697632	0.0677480697632	20
B7-19	0.0689408779144	0.0689408779144	28
B7-20	0.0690789222717	0.0690789222717	33
B8-1	0.0165169239044	0.0165169239044	102
B8-2	0.0178020000458	0.0178020000458	156
B8-3	0.0166690349579	0.0166690349579	90
B8-4	0.0162119865417	0.0162119865417	108
B8-5	0.0170528888702	0.0170528888702	132
B8-6	0.016282081604	0.016282081604	114
B8-7	0.0176749229431	0.0176749229431	108
B8-8	0.0166208744049	0.0166208744049	126
B8-9	0.0176260471344	0.0176260471344	126
B8-10	0.01571393013	0.01571393013	90
B8-11	0.0150859355927	0.0150859355927	78
B8-12	0.0168249607086	0.0168249607086	132
B8-13	0.0168790817261	0.0168790817261	120
B8-14	0.0166878700256	0.0166878700256	108
B8-15	0.0159561634064	0.0159561634064	78
B8-16	0.331645965576	0.331645965576	90
B8-17	0.0160610675812	0.0160610675812	108
B8-18	0.0157799720764	0.0157799720764	102
B8-19	0.0182280540466	0.0182280540466	96
B8-20	0.0162899494171	0.0162899494171	108
B9-1	0.0137629508972	0.0137629508972	1
B9-2	0.0125830173492	0.0125830173492	1
B9-3	0.0123300552368	0.0123300552368	1
B9-4	0.0118680000305	0.0118680000305	1
B9-5	0.0126240253448	0.0126240253448	1
B9-6	0.012130022049	0.012130022049	1
B9-7	0.0123300552368	0.0123300552368	1
B9-8	0.0122737884521	0.0122737884521	1
B9-9	0.0121850967407	0.0121850967407	1
B9-10	0.0121040344238	0.0121040344238	1
B9-11	0.0120079517365	0.0120079517365	1
B9-12	0.0119519233704	0.0119519233704	1
B9-13	0.012188911438	0.012188911438	1
B9-14	0.0121359825134	0.0121359825134	1
B9-15	0.0119450092316	0.0119450092316	1
B9-16	0.012090921402	0.012090921402	1
B9-17	0.0131261348724	0.0131261348724	1
B9-18	0.0123889446259	0.0123889446259	1
B9-19	0.0123429298401	0.0123429298401	1
B9-20	0.0123670101166	0.0123670101166	1
B10-1	0.178197145462	0.178197145462	130
B10-2	0.203294038773	0.203294038773	184
B10-3	0.190807104111	0.190807104111	168
B10-4	0.22563791275	0.22563791275	261
B10-5	0.233443021774	0.233443021774	301
B10-6	0.197277069092	0.197277069092	190
B10-7	0.266330957413	0.266330957413	379
B10-8	0.215057134628	0.215057134628	239
B10-9	0.184095859528	0.184095859528	147
B10-10	0.236536026001	0.236536026001	298
B10-11	0.29008102417	0.29008102417	453
B10-12	0.211539030075	0.211539030075	216
B10-13	0.155274868011	0.155274868011	68
B10-14	0.162677049637	0.162677049637	86
B10-15	0.15584397316	0.15584397316	71
B10-16	0.202656984329	0.202656984329	207
B10-17	0.154523134232	0.154523134232	68
B10-18	0.141592025757	0.141592025757	30
B10-19	0.15190911293	0.15190911293	49
B10-20	0.244953870773	0.244953870773	328
B11-1	4.09063696861	4.09063696861	1
B11-2	4.09222412109	4.09222412109	3
B11-3	4.09110283852	4.09110283852	13
B11-4	4.07801198959	4.07801198959	19
B11-5	4.06568908691	4.06568908691	13
B11-6	4.0673019886	4.0673019886	16
B11-7	4.06309080124	4.06309080124	5
B11-8	4.09049296379	4.09049296379	6
B11-9	4.04939699173	4.04939699173	15
B11-10	4.09217095375	4.09217095375	9
B11-11	4.04414510727	4.04414510727	6
B11-12	4.0906059742	4.0906059742	1
B11-13	4.05394601822	4.05394601822	17
B11-14	4.06851601601	4.06851601601	10
B11-15	4.03770303726	4.03770303726	5
B11-16	4.06317996979	4.06317996979	13
B11-17	4.07095599174	4.07095599174	5
B11-18	4.07200789452	4.07200789452	7
B11-19	4.0661919117	4.0661919117	1
B11-20	4.12104392052	4.12104392052	20
B12-1	0.235631942749	0.235631942749	1296
B12-2	0.165838003159	0.165838003159	570
B12-3	0.314452886581	0.314452886581	2376
B12-4	0.181720018387	0.181720018387	756
B12-5	0.280373811722	0.280373811722	966
B12-6	0.160681009293	0.160681009293	504
B12-7	0.453400850296	0.453400850296	1440
B12-8	0.22215294838	0.22215294838	1242
B12-9	0.128690004349	0.128690004349	120
B12-10	0.134888887405	0.134888887405	204
B12-11	0.319265127182	0.319265127182	2400
B12-12	0.203542947769	0.203542947769	1026
B12-13	0.247067928314	0.247067928314	1530
B12-14	0.225121021271	0.225121021271	1260
B12-15	0.198412179947	0.198412179947	972
B12-16	0.262820005417	0.262820005417	1728
B12-17	0.302368879318	0.302368879318	2208
B12-18	0.405127048492	0.405127048492	1536
B12-19	0.252772092819	0.252772092819	1632
B12-20	0.335742235184	0.335742235184	2622
